Age,Beg.,Nov.,Int.,Adv.,Elite
15,4.54,8.16,13.15,19.5,26.76
20,5.44,9.53,15.42,22.23,30.39
25,5.44,9.98,15.88,23.13,31.3
30,5.44,9.98,15.88,23.13,31.3
35,5.44,9.98,15.88,23.13,31.3
40,5.44,9.98,15.88,23.13,31.3
45,4.99,9.07,14.97,21.77,29.48
50,4.99,8.62,14.06,20.41,27.67
55,4.54,8.16,12.7,19.05,25.85
60,4.08,7.26,11.79,17.24,23.59
65,3.63,6.8,10.43,15.42,21.32
70,3.18,5.9,9.53,14.06,19.05
75,3.18,5.44,8.62,12.7,17.24
80,2.72,4.54,7.71,11.34,15.42
85,2.27,4.08,6.8,9.98,13.61
90,2.27,3.63,6.35,9.07,12.25